,text,label_s,label_f,label_h
0,love u sir love u soo much urs its beautyful vedio ,0,1,0
1,arae sur jee pahelae hamare bharat ke bachho ka parao firr vedesh may jao yaar,1,0,0
2,wah jitni sundar geet ke bhao hain utnihi sundar aur sureeli aawaz hai ,0,1,0
3,sundar ekdam sahi gaya hua ganachhotisi gudiya ko naman,0,0,0
4,wao lata mangekar,0,1,0
5,aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei  khush raho beti,0,1,0
6,joy hind joy hindmeri bhatan tuje salammodi ji aapko salam,0,0,0
7,kash modiji aap manmohan singh se phly aa gy hotyaj  humara desh kha phuch gya hota,0,0,0
8,india me student pe atyachaar karra hai result nahi dikhaijara hai aur yaha ye inke aankho me dhul jhokra hai,0,1,0
9,o o o,1,0,0
10,ye song nahi hi ye modi ji ka mehnat ka rang hi wo ek din pura world me dikha denge ye to sirf turkmenistan hi hai great modi ji great,0,1,0
11,modiji duniya k masiha hekafi ku kiya he or aage bhi karna he,0,1,0
12,bah guruji kya style hai apka duniyako hila ke chhore hain,0,1,0
13,awsomeisey kehte hain hindustan ki chaap chodna poore duniya me,0,1,0
14,namaste maha modi ji,1,1,0
15,modi ji aap ko shat shat naman hai jo aap ne pure universe me apne hindustan ka parcham laharaya,0,1,0
16,v good modi ji aap lege rahe hum aapke sath he,0,1,0
17,fantabulous we proud of you modi jihamare desh ki tasvir bhi sudharti nazar aa rahi h  sablogon me badlao dikh raha h india ko apke jaisa hi pm chahiyebharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat hasha h ki jald hi unme bhi sudhar ayega,0,1,0
18,wah sir g ab desh sahi hatho me gya h apko dekh kar aisa hi lagata h,0,0,0
19,its not hindi its urdu and bolywood ager kamyab hai tu urdu ki waja say,1,0,0
20,narendra modi yeh kya bakchodi pel rahe ho facebook pe  kaam karlo plz,0,0,0
21,kash ye sab bangladesh aur pakistan b gate toh kitna acha hota,1,1,0
22,wah wah turkes,1,1,0
23,masha allah goodyeh hain meri hindi,0,1,0
24,wah wah maja aa gya  indian govt should host an international hindi song compitition  tarrakki bahut ho gayi ab thoda entertainment ho jai  kyo bhayio aur behno ,0,1,0
25,mujhe gussa un saale hinduo par aata hai jo nasmjhi me modi ji ka virodh karte hain ,0,1,0
26,bharat ko vishwa guru banne se koi nahi rok saktavande matram,0,1,0
27,sir yeh tho sirf aap hi kar sakte hai great sir,0,1,0
28,modi jigood preiminister hia,0,1,0
29,jai sri ram nama namo,1,1,0
30,jan jan ka viswas kam ho na jai hind,1,1,0
31,modi ji aage badho pura desh aapke ssath hai,0,0,0
32,raj kapoor ki filmo ke baare me suna tha ki ussr me pasand ki jaati hailagta hai vah aaj bhi kayam hay,0,1,0
33,we are proud our pm   ab lg rha h ki hmara desh ek achchi rah pr chal para hai jaha se hm puri world me apna jhanda gaar skte hai,0,0,0
34,modi ji aap ki soch bahut sahi lgti hai progres n hona hi sabki wajah hai is liye sabse zaroori hai ki desh ka vikas ho,0,1,0
35,bhrat ko no banne me ab jyada samy nahi lagega   kyo ki modi ji jaisa pm bade bhagya se milte hai  jo bharat ki rftar ko bdane me koi kasar nahi chodege         jai hind      ,0,1,0
36,baccho k dilon dimag ko satya k raste pe lane k liya is geet ko schoolo me vandana k rup me anivarya karna chaheye ,0,1,0
37,kartikey kumar modi hi des ko ag bada sakate hai,0,1,0
38,hahaha budha bachiyo ko taar raha h,0,1,0
39,aisa pm naa hua hai aur naa hee hoga kabhi ,0,1,0
40,koi hindu nhi koi muslim nhi hm sab hundustani hai,1,0,0
41,modi tujhe jaan se maarna mera kaam hai   main khalistani huuuuuuu,0,1,0
42,modije mera request hai ke ap apna whatsapp no de take mai live pic apko dekha saku,1,1,0
43,modiji ap apne desh ka tirnga sari duni me lahraya hum sabko garv hai ap per maa bharti ka man duniya me badhaya apne ap hum bhartvasio ke dil me bas gaye ho salute sir apko jai hind,0,0,0
44,hum bihar ka to jeet gaye aur up ka election jeeta denaabhi to hum seaton se jeete hai hume aur humen seaton se jeeta dena,1,1,0
45,pm ho to aisa modi jaisa ji hind jay varat,0,0,0
